,subject,predicate,object,rtype,operations,support_sentence
191,RocketTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['Typically categorized as a vegetable topping, it offers both texture and a burst of flavor, making it a delightful addition to various pizza combinations.']"
192,Rosa,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['(Each slice is crafted with a specific type of pizza base that complements the toppings perfectly, creating a satisfying culinary experience.)']"
193,Rosa,hasTopping,GorgonzolaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This delightful pizza variety features a harmonious blend of Gorgonzola, Mozzarella, and Tomato toppings, ensuring every bite is rich and flavorful.)']"
194,Rosa,hasTopping,MozzarellaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This delightful pizza variety features a harmonious blend of Gorgonzola, Mozzarella, and Tomato toppings, ensuring every bite is rich and flavorful.)']"
195,Rosa,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This delightful pizza variety features a harmonious blend of Gorgonzola, Mozzarella, and Tomato toppings, ensuring every bite is rich and flavorful.)']"
196,RosemaryTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful topping adds a fragrant, earthy flavor to your pizza, enhancing it with its mild spiciness.']"
197,RosemaryTopping,isIngredientOf,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isToppingOf'], 'negative': True}","['Often used in Mediterranean cuisine, it brings a touch of aromatic freshness that complements a variety of ingredients.']"
198,RosemaryTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['It brings a touch of aromatic freshness that complements a variety of ingredients, making it a perfect choice for those looking to elevate their pizza experience.']"
199,SauceTopping,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['SauceTopping enhances the taste and texture of pizza, serving as a foundation for additional toppings, which indicates that it can have other types of pizza toppings associated with it.']"
200,Siciliana,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base is crafted from a traditional pizza dough, providing the perfect foundation for this medley of ingredients.']"
201,Siciliana,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}",['This delightful pizza variety features a rich combination of toppings that come together to create a unique flavor profile.']
202,Siciliana,hasTopping,FishTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Each slice is adorned with anchovies, artichokes, garlic, ham, mozzarella, olives, and tomatoes, ensuring that every bite is bursting with taste.']"
203,Siciliana,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['Each slice is adorned with anchovies, artichokes, garlic, ham, mozzarella, olives, and tomatoes, ensuring that every bite is bursting with taste.']"
204,SlicedTomatoTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for its mild taste, it perfectly complements a variety of other ingredients...']"
205,SlicedTomatoTopping,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful topping adds a fresh and juicy element to any pizza, featuring slices of ripe tomatoes...']"
206,SlicedTomatoTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['It perfectly complements a variety of other ingredients, making it a popular choice among pizza lovers...']"
207,SloppyGiuseppe,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['(The description mentions a ""base topped with a rich medley of ingredients,"" indicating that SloppyGiuseppe has a base, which is a type of PizzaBase.)']"
208,SloppyGiuseppe,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['(The ingredients mentioned in the description, such as ""green peppers,"" ""hot spiced beef,"" ""mozzarella cheese,"" ""onions,"" and ""tomatoes,"" are all types of Food, indicating that SloppyGiuseppe has these as ingredients.)']"
209,SloppyGiuseppe,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(The description refers to the ""savory kick of hot spiced beef,"" suggesting that SloppyGiuseppe has a level of spiciness, which can be classified under Spiciness.)']"
210,SloppyGiuseppe,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(The description highlights a ""delightful combination of flavors"" with various toppings such as ""green peppers,"" ""hot spiced beef,"" ""mozzarella cheese,"" ""onions,"" and ""tomatoes,"" which are all classified under PizzaTopping.)']"
211,Soho,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['This delightful pizza variety features a harmonious blend of flavors, showcasing a base that perfectly supports a medley of toppings.']"
212,Soho,hasIngredient,Food,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['Together, these ingredients create a mouthwatering experience that celebrates the art of pizza-making, ensuring that every bite is a delicious adventure.']"
213,Soho,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Each slice is adorned with the rich taste of garlic, the creamy goodness of mozzarella, the briny essence of olives, the nutty notes of parmesan, the fresh zest of rocket, and the classic tang of tomatoes.']"
214,Spiciness,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This category represents a way to describe the heat level of a dish, particularly in the context of pizza, encompassing a range of flavors from pleasantly mild to intensely hot.)']"
215,SpinachTopping,hasTopping,VegetableTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': ['TomatoTopping'], 'prop_variant': [], 'negative': True}","['SpinachTopping is categorized under VegetableTopping, indicating that it is a type of topping derived from vegetables, which aligns with its description as a nutritious element that enhances the flavor and visual appeal of pizzas.']"
216,SultanaTopping,hasSpiciness,Medium,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['This delightful topping adds a burst of flavor to your pizza with its unique combination of sweetness and a moderate level of spiciness.']
217,SultanaTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['Perfect for those who enjoy a bit of heat without overwhelming their palate, this topping is a favorite for adventurous eaters looking to elevate their pizza game.']"
218,SundriedTomatoTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}",['It brings a mild spiciness that enhances the overall taste without overwhelming the palate.']
219,SundriedTomatoTopping,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['This ingredient adds a rich, tangy flavor to your pizza... Perfect for those who enjoy a subtle kick.']"
220,SundriedTomatoTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}",['This topping makes pizzas not only more flavorful but also adds a touch of gourmet sophistication.']
221,SweetPepperTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Known for its mildness, it complements other ingredients beautifully, making it a favorite choice for those who prefer a more subtle taste profile.']"
222,ThinAndCrispyBase,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This type of pizza base is characterized by its lightweight and crunchy texture, offering a delightful crispness that enhances the overall eating experience. It serves as a delicate foundation for a variety of toppings, allowing the flavors to shine without being overly filling.']"
223,TobascoPepperSauce,hasSpiciness,Hot,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This flavorful sauce adds a fiery kick to any dish, known for its intense heat that can elevate the taste experience.']"
224,TobascoPepperSauce,isIngredientOf,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isToppingOf'], 'negative': True}",['It’s a popular choice for those who enjoy a spicy twist in their meals.']
225,TobascoPepperSauce,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['Often drizzled over pizza, it brings a distinctive and zesty flavor that pairs well with a variety of toppings, making it a favorite for spice lovers.']"
226,TomatoTopping,hasIngredient,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}",['Its vibrant red color not only makes the dish visually appealing but also provides a juicy texture that complements other ingredients beautifully.']
227,TomatoTopping,hasSpiciness,Mild,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Perfect for those who enjoy a subtle kick, this topping is a staple in many classic pizza recipes.']"
228,TomatoTopping,isToppingOf,NamedPizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['hasIngredient', 'isBaseOf', 'isIngredientOf'], 'negative': True}","['This topping adds a fresh and zesty flavor to pizzas, offering a mild taste that enhances the overall experience without overwhelming the palate.']"
229,UnclosedPizza,hasBase,PizzaBase,exactly 1,"{'remove': True, 'variant_rtype': ['some', 'only'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}","['The base of this pizza is essential, providing the necessary support for all the delicious ingredients piled on top.']"
230,UnclosedPizza,hasIngredient,MozzarellaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['A key ingredient is the presence of mozzarella, which adds a creamy and rich flavor that complements the other toppings beautifully.']"
231,UnclosedPizza,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This type of pizza is characterized by its open structure, allowing for a delightful combination of toppings to be showcased.']"
232,ValuePartition,hasIngredient,Pizza,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf', 'isIngredientOf', 'isToppingOf'], 'negative': True}","['(This concept refers to a specific portion of the overall value of a pizza, which can be divided based on various criteria such as size, toppings, or ingredients.)']"
233,ValuePartition,hasSpiciness,Spiciness,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(This division can be useful for pricing strategies, menu design, or even customer preferences, as it highlights the significance of each part in relation to the whole.)']"
234,ValuePartition,hasTopping,PizzaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['(It helps in understanding how the different components contribute to the total worth of the pizza, allowing for a detailed analysis of what makes each selection unique.)']"
235,Veneziana,hasBase,PizzaBase,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': ['isBaseOf'], 'negative': True}",['all resting on a classic pizza base.']
236,Veneziana,hasCountryOfOrigin,Country,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['Originating from a specific country, this pizza is not just a meal but a taste of culinary tradition...']"
237,Veneziana,hasTopping,CaperTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that includes capers, mozzarella cheese, olives, onions, pine kernels, sultanas, and tomatoes...']"
238,Veneziana,hasTopping,FruitTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that includes capers, mozzarella cheese, olives, onions, pine kernels, sultanas, and tomatoes...']"
239,Veneziana,hasTopping,MozzarellaTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that includes capers, mozzarella cheese, olives, onions, pine kernels, sultanas, and tomatoes...']"
240,Veneziana,hasTopping,NutTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that includes capers, mozzarella cheese, olives, onions, pine kernels, sultanas, and tomatoes...']"
241,Veneziana,hasTopping,OliveTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that includes capers, mozzarella cheese, olives, onions, pine kernels, sultanas, and tomatoes...']"
242,Veneziana,hasTopping,OnionTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': [], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that includes capers, mozzarella cheese, olives, onions, pine kernels, sultanas, and tomatoes...']"
243,Veneziana,hasTopping,TomatoTopping,some,"{'remove': True, 'variant_rtype': ['only', 'exactly 1'], 'generalize': ['VegetableTopping'], 'specialize': [], 'prop_variant': [], 'negative': True}","['This delightful pizza features a harmonious blend of toppings that includes capers, mozzarella cheese, olives, onions, pine kernels, sultanas, and tomatoes...']"
